year,st,stateno,state,state_fips,state_icpsr,poptotal,evangelical_pop,nonwhite,gini_coef,region,total_expenditure,total_revenue,gsppcap,incomepcap,unemployment,povrate,earned_income_taxcredit,x_sales_taxes,x_tax_burden,x_top_corporateincometaxrate,prez_election_year,hou_chamber,sen_chamber,h_diffs,s_diffs,inst6014_nom,bowen_legprof_firstdim,bowen_legprof_seconddim,speaker_power,pctfemaleleg,efna_index,vepvotingrate,ranney4_control,overall_fin_reg,oelecsc,opartsc,nonindiv_contrib,union_density,pollib_median,innovatescore_boehmkeskinner,soc_capital_ma,citi6013,wpid,mood,anti_environment,anti_aid,anti_defense,anti_education,anti_welfare,anti_race,death_penalty,guncontrol_stand_your_ground,vcrimerate,z_education_expenditures_per_pup,mathscore4th,readscore4th,sqli,health_rank,genderrights_state_eras,infconsent,w_ec_access,solaw,vaaban,w_environment_solar_taxcredit,frps,drugs_medical_marijuana,gambling_lottery_adoption,guncontrol_assaultweapon_ban,guncontrol_opencarry,labor_minwage_abovefed,labor_right_to_work
1960,IL,13,Illinois,17,21,10081000,NA,NA,0.43344611,3,1362598,1452061,NA,2670,NA,NA,NA,3,NA,0,1,NA,NA,NA,NA,36.05315,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,0.658875,0.061083,NA,58.59646,NA,47.84400177,NA,NA,NA,NA,NA,NA,0,NA,365.1,3715.06,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0
1961,IL,13,Illinois,17,21,10130000,NA,NA,0.43733293,3,1594541,1540551,NA,2760,NA,NA,NA,3.5,NA,0,0,NA,NA,NA,NA,69.0192,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,0.830754,0.13122,NA,52.35096,NA,54.85100174,NA,NA,NA,NA,NA,NA,0,NA,362.2,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0
1962,IL,13,Illinois,17,21,10280000,NA,NA,0.43687585,3,1537061,1674031,NA,2870,NA,NA,NA,3.5,NA,0,0,NA,NA,NA,NA,69.0192,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,0.791732,0.13122,NA,52.30389,NA,52.12599945,NA,NA,NA,NA,NA,NA,0,NA,383.7,4128.54,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0
1963,IL,13,Illinois,17,21,10402000,NA,NA,0.44519541,3,1780371,1846977,NA,2948,NA,NA,NA,3.5,NA,0,0,NA,NA,NA,NA,65.87833,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,0.788822,0.036991,NA,54.58371,NA,50.26399994,NA,NA,NA,NA,NA,NA,0,NA,330.3,3713.21,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0
1964,IL,13,Illinois,17,21,10580000,NA,NA,0.44044882,3,1798039,1938033,NA,3096,NA,NA,NA,3.5,NA,0,1,NA,NA,NA,NA,65.87833,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,0.69947,0.036991,NA,55.94225,NA,56.26800156,NA,NA,NA,NA,NA,NA,0,NA,351.9,4322.11,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,0
1965,IL,13,Illinois,17,21,10693000,NA,NA,0.44621855,3,2066010,2116048,NA,3321,NA,NA,NA,3.5,NA,0,0,NA,NA,NA,NA,77.62774,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,0.432012,0.145471,NA,47.33429,NA,58.11299896,NA,NA,NA,NA,NA,NA,0,NA,322.7,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,0
1966,IL,13,Illinois,17,21,10836000,NA,NA,0.45767796,3,2031443,2270260,NA,3550,NA,NA,NA,3.5,NA,0,0,NA,NA,NA,NA,77.62774,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,0.289488,0.145471,NA,46.36518,NA,57.85599899,NA,NA,NA,NA,NA,NA,0,NA,364.8,4163.69,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,0
1967,IL,13,Illinois,17,21,10947000,NA,NA,0.45512524,3,2456060,2397620,NA,3737,NA,NA,NA,4.25,NA,0,0,NA,NA,NA,NA,64.062970000000007,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,0.377433,0.041386,NA,46.07883,NA,60.98300171,NA,NA,NA,NA,NA,NA,0,NA,394.3,3959.25,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,0
1968,IL,13,Illinois,17,21,10995000,NA,NA,0.46046233,3,2779315,2889620,NA,3987,NA,NA,NA,4.25,NA,0,1,NA,NA,NA,NA,64.062970000000007,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0.513881,0.041386,NA,59.74371,NA,57.12200165,NA,NA,NA,NA,NA,NA,0,NA,408,3912.75,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,0,0,0
1969,IL,13,Illinois,17,21,11039000,NA,NA,0.45932579,3,3205940,3268185,NA,4333,NA,NA,NA,4,NA,4,0,NA,NA,NA,NA,34.55049,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0.594844,0.03791,NA,51.9878,NA,51.4980011,NA,NA,NA,NA,NA,NA,0,NA,448.5,4435.55,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,0,0,0
1970,IL,13,Illinois,17,21,11110285,NA,NA,0.44047973,3,4069153,4347716,NA,4568,NA,NA,NA,4,NA,4,0,NA,NA,NA,NA,34.55049,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,0.457096,0.03791,NA,48.8414,NA,49.61600113,NA,NA,NA,NA,NA,NA,0,NA,467.9,4423.8,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,0,0,0
1971,IL,13,Illinois,17,21,11202397,NA,NA,0.44838113,3,4886265,5000989,NA,4867,NA,NA,NA,4,NA,4,0,NA,NA,NA,NA,43.43345,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,0.798079,0.001885,NA,50.82181,NA,51.81399918,NA,NA,NA,NA,NA,NA,0,NA,477.3,4856.18,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,0,0,0
1972,IL,13,Illinois,17,21,11251948,NA,NA,0.44810507,3,5495893,5858707,NA,5262,NA,NA,NA,4,NA,4,1,NA,NA,NA,NA,43.43345,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,0.590294,0.001885,NA,49.65829,NA,48.25,NA,NA,NA,NA,NA,NA,0,NA,508.1,4600.91,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,0,0,0
1973,IL,13,Illinois,17,21,11251367,NA,NA,0.45764056,3,6034221,6432161,NA,5892,NA,NA,NA,4,NA,4,0,NA,NA,NA,NA,72.09986,1.7160497,-0.093098901,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,0.655426,0.111417,NA,54.61928,NA,42.93500137,0.052298799,0.710264038,0.430004281,0.097309958,0.515829516,0.271535044,0,NA,555.9,5608.47,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,0,NA,0,0,0
1974,IL,13,Illinois,17,21,11262145,NA,0.144427717,0.46194252,3,6523804,7254548,NA,6452,NA,NA,NA,4,NA,4,0,NA,NA,NA,NA,72.09986,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,33.5,0.740949,0.111417,NA,49.70433,NA,43.5320015,0.077318542,0.78835848,0.40410993,0.07899489,0.339154912,0.203194115,0,NA,627.1,5012.28,NA,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,1,NA,0,0,0
1975,IL,13,Illinois,17,21,11291743,9.6000004,0.147151962,0.46775642,3,7842927,7488996,NA,7008,7.1,NA,NA,4,NA,4,0,NA,NA,NA,NA,86.83615,2.1208112,-0.73019969,NA,5.9,NA,NA,1,NA,NA,NA,NA,30.299999239999998,0.650788,0.001469,NA,58.41142,NA,45.09600067,0.094994612,0.748845928,0.351051837,0.082411161,0.35669337,0.242400402,0,NA,670.2,NA,NA,NA,NA,NA,0,0,1,0,NA,0,NA,NA,1,NA,0,0,0
1976,IL,13,Illinois,17,21,11342853,9.6000004,0.149720088,0.46570683,3,9477017,9148441,NA,7620,6.5,NA,NA,4,NA,4,1,NA,NA,NA,NA,86.83615,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,30.200000760000002,0.611054,0.001469,NA,50.09555,0.120964155,42.88299942,0.071417347,0.77218907,0.316332318,0.069958064,0.60669344,0.280918549,0,NA,625.8,5082.55,NA,NA,NA,NA,0,0,1,0,NA,0,NA,NA,1,NA,0,0,0
1977,IL,13,Illinois,17,21,11386316,9.6000004,0.152450025,0.46912214,3,9939241,9852612,NA,8359,6.2,NA,NA,4,0.104,4,0,NA,NA,NA,NA,55.25759,1.440767,-0.3186658,NA,8.9,NA,NA,0.5,NA,NA,NA,NA,30.10000038,0.442117,0.02086,NA,49.83871,0.082942419,41.15499878,0.079906009,0.701777856,0.297992053,0.100770072,0.543649926,0.285306413,0,NA,630.6,6091.31,NA,NA,NA,NA,0,0,0,0,NA,0,NA,NA,1,NA,0,0,0
1978,IL,13,Illinois,17,21,11412561,9.6000004,0.155267149,0.47118163,3,9952913,10317928,NA,9222,6.1,NA,NA,4,0.101,4,0,NA,NA,NA,NA,55.25759,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,27.299999239999998,0.370979,0.02086,NA,46.35441,0.223333687,41.34500122,0.110766515,0.71543329,0.226048275,0.1148521,0.55418878,0.235158025,0,NA,676.7,6161.29,NA,NA,NA,NA,0,0,0,0,NA,0,NA,NA,1,NA,0,0,0
1979,IL,13,Illinois,17,21,11396837,9.6000004,0.157787219,0.47184646,3,10408051,11201902,NA,10140,5.5,NA,NA,4,0.098,4,0,NA,NA,NA,NA,50.04985,1.4478332,-0.085444361,NA,11,NA,NA,0.5,NA,NA,NA,NA,29.200000760000002,0.27261,0.039933,NA,50.41311,0.131462067,37.23199844,0.119141892,0.725211543,0.16809335,0.116892658,0.556636904,0.222863229,0,NA,743.9,NA,NA,NA,NA,NA,0,0,0,0,NA,0,NA,NA,1,NA,0,0,0
1980,IL,13,Illinois,17,21,11426518,9.6000004,0.190128505,0.48032287,3,12428760,12729899,NA,10980,8.3,12.3,NA,4,0.097,4,1,NA,NA,NA,NA,50.04985,NA,NA,NA,NA,NA,0.6,0.5,NA,NA,NA,NA,29.5,0.334015,0.039933,NA,45.69788,0.134471819,36.51599884,0.127517268,0.734989795,0.110138425,0.118933215,0.559085027,0.210568433,0,NA,808,4929.5,NA,NA,NA,NA,0,0,0,0,NA,0,NA,NA,1,NA,0,0,0
1981,IL,13,Illinois,17,21,11443458,9.6000004,0.221348941,0.48158297,3,13934268,14250233,NA,12150,8.5,12.1,NA,4,0.095,4,0,NA,NA,NA,NA,43.15937,1.1651711,0.28587827,3.11,13.6,6,NA,0.5,NA,NA,NA,NA,25.60000038,0.296086,0.051382,NA,45.72428,0.06708134,38.92300034,0.12346746,0.736616996,0.225435756,0.103036092,0.473985369,0.185335217,0,NA,792.5,5369.98,NA,NA,NA,NA,0,0,0,0,NA,0,NA,NA,1,NA,0,0,0
1982,IL,13,Illinois,17,21,11423412,9.6000004,0.224952728,0.48541313,3,14138237,14417560,NA,12868,11.3,13.4,NA,4,0.094,4,0,NA,NA,NA,NA,43.15937,NA,NA,NA,NA,6.1,0.47,0.5,NA,NA,NA,NA,25,0.36729,0.051382,NA,53.10047,0.141374156,41.02199936,0.119417652,0.738244198,0.340733087,0.087138969,0.38888571,0.160102001,0,NA,774.3,6176.58,NA,NA,NA,NA,0,0,0,0,NA,0,NA,NA,1,NA,0,0,0
1983,IL,13,Illinois,17,21,11408818,9.6000004,0.228057593,0.49014696,3,15003880,15119889,NA,13420,11.4,14.3,NA,4,0.096,7.3,0,NA,NA,NA,NA,54.47289,1.0531173,0.21652572,3.17,15.3,6,NA,0.5,NA,NA,NA,NA,24.39999962,0.4208,0.105467,NA,53.29349,0.070418157,40.74900055,0.078417756,0.799194382,0.408576949,0.09695288,0.48242441,0.23257826,0,NA,728.1,6488.36,NA,NA,NA,NA,0,0,0,0,NA,0,NA,NA,1,NA,0,0,0
1984,IL,13,Illinois,17,21,11412132,9.6000004,0.231655717,0.49561349,3,15049869,16470268,NA,14760,9.1,15,NA,5,0.1,7.3,1,NA,NA,NA,NA,54.47289,NA,NA,NA,15.8,6.5,0.61,0.5,NA,NA,NA,NA,22.60000038,0.383491,0.105467,1.6270758,53.28404,0.119646266,42.53499985,0.059909768,0.761652646,0.458209249,0.101207653,0.244104517,0.262809771,0,NA,724.9,6656.99,NA,NA,NA,NA,0,0,0,0,NA,0,NA,NA,1,NA,0,0,0
1985,IL,13,Illinois,17,21,11399806,14,0.234735444,0.50580531,3,16490504,17573049,NA,15524,9,15.6,NA,5,0.098,6.5,0,NA,NA,NA,NA,50.02907,1.0815345,0.24786265,3.17,16.9,6.6,NA,0.5,NA,NA,NA,NA,22.39999962,0.535312,0.020765,1.3874768,52.00573,0.085215241,42.03699875,0.109442189,0.688148218,0.458018852,0.071745359,0.453762298,0.288184824,0,NA,714.8,6688.74,NA,NA,NA,NA,0,0,0,0,NA,0,NA,NA,1,NA,0,0,0
1986,IL,13,Illinois,17,21,11387257,14,0.237969086,0.51867032,3,17822767,19437185,NA,16304,8.1,13.3,NA,5,0.097,4,0,NA,NA,NA,NA,50.02907,NA,NA,NA,16.9,6.6,0.4,0.5,NA,NA,NA,NA,22.60000038,0.479131,0.020765,1.3123971,52.29012,0.092527345,42.95800018,0.0644494,0.747364199,0.326389902,0.053776698,0.34430241,0.206111615,0,NA,808.9,6737.8,NA,NA,NA,NA,0,0,0,0,NA,0,NA,NA,1,NA,0,0,0
1987,IL,13,Illinois,17,21,11391178,14,0.241433144,0.53615993,3,18820800,20632044,26134,17236,7.4,14.4,NA,5,0.097,4,0,NA,NA,NA,NA,48.18618,1.0317093,0.51597536,3.17,18.1,6.7,NA,0.5,NA,NA,NA,NA,22.5,0.456437,0.019566,0.95802295,53.42764,0.07793621,43.73600006,0.039117556,0.725320342,0.447943157,0.090362967,0.394634915,0.14351808,0,NA,796.2,7139.43,NA,NA,NA,NA,0,0,0,0,NA,0,NA,NA,1,NA,0,0,0
1988,IL,13,Illinois,17,21,11390183,14,0.244929582,0.5553841,3,19212132,20549230,27610,18551,6.8,12.7,0,5,0.097,4,1,NA,NA,NA,NA,48.18618,NA,NA,NA,18.1,6.9,0.57,0.5,NA,NA,NA,NA,21.5,0.388339,0.019566,0.62052029,58.4194,0.087605312,44.03300095,0.051281881,0.71418934,0.409578429,0.05253584,0.429199232,0.239493667,0,NA,810.4,7248.67,NA,NA,NA,NA,0,0,0,0,NA,0,NA,NA,1,NA,0,0,0
1989,IL,13,Illinois,17,21,11409782,14,0.248639971,0.57677513,3,20345735,22243147,28096,19672,6,12.7,0,6.25,0.095,4.8,0,NA,NA,NA,NA,47.08855,1.0671631,0.30394492,3.24,18.6,7,NA,0.5,NA,NA,NA,NA,21,0.359223,0.017065,0.39847416,53.54432,-0.105981089,44.36999893,0.047851477,0.731386725,0.464585303,0.035397123,0.424998962,0.19765292,0,NA,845.9,7402.25,NA,NA,NA,NA,0,0,0,0,NA,0,NA,NA,1,0,0,0,0
1990,IL,13,Illinois,17,21,11430602,14,0.251483768,0.57138056,3,22072305,24567779,28290,20835,6.2,13.7,0,6.25,0.098,4.8,0,NA,NA,NA,NA,47.08855,NA,NA,NA,18.6,7,0.41,0.5,NA,NA,NA,490040.15,21,0.34978,0.017065,-0.19390319,51.47377,0.059959181,45.75,0.062648341,0.679666749,0.45017367,0.087796171,0.398009411,0.130646372,0,NA,967.4,7598.69,NA,NA,NA,NA,0,0,0,0,NA,0,NA,NA,1,0,0,0,0
1991,IL,13,Illinois,17,21,11535973,14,0.255400926,0.56856191,3,24619161,25092123,27975,21148,7.1,13.5,0,6.25,0.098,4.8,0,NA,NA,NA,NA,47.36651,1.7442055,-0.66950184,2.92,18.6,6.7,NA,0.5,NA,NA,NA,NA,21.10000038,0.284953,0.042722,-0.072583891,50.71358,0.087357901,44.33000183,0.058966883,0.77856196,0.335818264,0.085767156,0.30369965,0.123386693,0,NA,1039.2,7647.58,NA,NA,NA,NA,0,0,0,0,NA,0,NA,NA,1,0,0,0,0
1992,IL,13,Illinois,17,21,11635197,14,0.259170085,0.58004314,3,26831659,27864641,28758,22553,7.5,15.6,0,6.25,0.099,4.8,1,NA,NA,NA,NA,47.36651,NA,NA,NA,18.6,6.8,0.62,0.5,4,NA,NA,779326.44,20.60000038,0.272662,0.042722,0.078297108,57.43489,0.069130786,44.49300003,0.089547813,0.755052855,0.393831076,0.06492292,0.399973211,0.137327984,0,NA,977.3,7691.44,NA,NA,17,31,0,1,0,0,NA,0,NA,NA,1,0,0,0,0
1993,IL,13,Illinois,17,21,11725984,14,0.263274163,0.56820089,3,28125650,30350874,29084,23068,7.4,13.6,0,6.25,0.1,4.8,0,NA,NA,NA,NA,36.45305,1.17738,0.028149698,2.92,23.2,6.8,NA,0.5,NA,NA,NA,NA,21.200000760000002,0.415346,0.054376,0.41649553,51.6355,0.108799301,42.65399933,0.120128751,0.731543749,0.451843888,0.044078684,0.496246771,0.151269274,0,0,959.7,7408.31,NA,NA,16,32,0,1,0,0,NA,0,NA,NA,1,0,0,0,0
1994,IL,13,Illinois,17,21,11804986,14,0.267380595,0.56919163,3,29448511,31989692,30633,24181,5.7,12.4,0,6.25,0.1,4.8,0,NA,NA,NA,NA,36.45305,NA,NA,NA,23.2,6.8,0.38,0,4,NA,NA,NA,20,0.318223,0.054376,0.60897899,47.11792,0.057903949,38.56399918,0.080113888,0.75431579,0.299893926,0.051598441,0.552302966,0.205343287,0,0,960.9,NA,NA,NA,13,35,0,1,0,0,NA,0,NA,NA,1,0,0,0,0
1995,IL,13,Illinois,17,21,11884935,10.6,0.271234661,0.57389677,3,32991313,34689103,31216,25382,NA,12.4,0,6.25,0.099,4.8,0,NA,NA,NA,NA,26.08264,0.99556547,0.51509392,2.97,23.2,6.8,NA,0,NA,NA,NA,NA,20.299999239999998,0.417727,0.153075,0.63166451,47.693600000000004,0.046038136,35.82300186,0.084100142,0.728069505,0.328749202,0.05525179,0.529160641,0.197963985,0,0,996.1,7086.12,NA,NA,10,34,0,1,0,0,NA,0,NA,NA,1,0,0,0,0
1996,IL,13,Illinois,17,21,11953003,10.6,0.275220186,0.59092104,3,34111276,37221576,32202,26806,5.3,12.1,0,6.25,0.097,4.8,1,-0.212,0.112,1.194,1.121,26.08264,NA,NA,NA,23.2,7,0.53,0.5,4,NA,NA,38023212.25,20.10000038,0.292948,0.153075,0.29546362,52.85074,0.139955908,33.85900116,0.088086389,0.701823219,0.357604478,0.058905139,0.506018315,0.190584684,0,0,890.4,7211.4,NA,NA,13,34,0,1,0,0,NA,0,NA,0,1,0,0,0,0
1997,IL,13,Illinois,17,21,12011509,10.6,0.279478014,0.58714432,3,35301874,39012673,40028,28130,4.7,11.2,0,6.25,0.094,4.8,0,-0.25,0.104,1.21,1.129,33.97449,0.9684357,0.66208965,2.97,26,7.1,NA,0.5,NA,NA,NA,NA,18.700000760000002,0.408745,0.101688,-0.14064047,59.93393,0.077823676,34.60499954,0.084482864,0.671710895,0.342865009,0.071514263,0.446850022,0.187382008,0,0,861.4,7675.68,NA,NA,5,33,0,1,0,0,NA,0,NA,0,1,0,0,0,0
1998,IL,13,Illinois,17,21,12069774,10.6,0.283608615,0.59615076,3,35685258,40460377,40963,29746,4.5,10.1,0,6.25,0.092,4.8,0,-0.25,0.197,1.21,1.152,33.97449,NA,NA,NA,25.4,7.2,0.41,0.5,4,NA,NA,62685099.28,18.89999962,0.320215,0.101688,-0.36704883,54.35975,0.162113413,32.19900131,0.080879331,0.641598571,0.32812554,0.084123386,0.387681729,0.184179331,0,0,807.7,7929.4,NA,NA,6,29,0,1,0,0,NA,0,NA,0,1,0,0,0,0
1999,IL,13,Illinois,17,21,12128370,10.6,0.287829071,0.6015811,3,38313971,43294450,41961,30619,4.3,9.9,0,6.25,0.091,4.8,0,-0.362,0.151,1.282,1.156,34.95899,1.0503592,0.70196587,2.92,25.4,7.2,NA,0.5,NA,NA,NA,NA,18.10000038,0.273415,0.19716,-0.41521621,58.14705,0.147088379,31.27599907,0.086659849,0.618643691,0.281978383,0.072102881,0.381651582,0.168164798,0,0,689.5,7801.35,NA,NA,7,27,0,1,0,0,NA,0,NA,0,1,0,0,0,0
2000,IL,13,Illinois,17,21,12437888,10.6,0.310795546,0.6045236,3,41182904,48524070,43198,32645,4.4,10.7,1,6.25,0.091,4.8,1,-0.362,0.151,1.282,1.156,34.95899,NA,NA,NA,24.9,7.3,0.56,0.5,4,NA,NA,42017510.8,18.700000760000002,0.307406,0.19716,-0.35150155,54.38931,0.142651409,36.85400009,0.092440374,0.595688811,0.235831226,0.060082376,0.375621436,0.152150264,0,0,653.8,7889.55,222.976,NA,9,30,0,1,0,0,0,0,0,0,1,0,0,0,0
2001,IL,13,Illinois,17,21,12510596,10.6,0.316301733,0.58860707,3,45170257,47348197,43145,33232,5.4,10.1,1,6.25,0.091,4.8,0,-0.212,0.104,1.141,1.157,34.52706,1.4779366,0.43566102,2.92,26.6,7.6,NA,0.5,NA,0,1,NA,18.39999962,0.385346,0.040773,-0.46326661,58.65016,0.072743632,39.95500183,0.087607592,0.623473525,0.243982847,0.059232889,0.403337516,0.149529966,0,0,633.1,10410,NA,NA,15,31,0,1,0,0,0,0,0,0,1,0,0,0,0
2002,IL,13,Illinois,17,21,12565228,10.6,0.320389569,0.58373767,3,49131377,41094791,43171,33793,6.5,12.8,1,6.25,0.094,4.8,0,-0.212,0.104,1.141,1.157,34.52706,NA,NA,NA,26.6,7.1,0.41,1,4,0,1,101994773.8,19.799999239999998,0.340363,0.040773,-0.40656438,55.38861,0.109702483,41.49000168,0.082774803,0.651258238,0.252134467,0.058383403,0.431053595,0.146909668,0,0,601.9,10959.9,NA,NA,18,31,0,1,0,0,0,0,0,0,1,0,0,0,0
2003,IL,13,Illinois,17,21,12611047,10.6,0.324438035,0.58221054,3,51291090,44422828,43941,34717,6.7,12.6,1,6.25,0.094,7.3,0,-0.212,-0.435,1.085,1.063,82.5564,1.4147723,0.10608219,2.92,27.1,7.6,NA,1,NA,0,1,NA,18,0.415064,0.288339,-0.21012083,57.44496,0.14747864,41.88299942,0.073906638,0.568004835,0.243989635,0.054484358,0.413048649,0.164112898,0,0,556.4,11249.8,232.857,216.304,18,30,0,1,0,0,0,0,0,0,1,0,0,0,0
2004,IL,13,Illinois,17,21,12665718,10.6,0.328410625,0.58845353,3,54861810,59632980,44906,36164,6.1,12.2,1,6.25,0.095,7.3,1,-0.212,-0.435,1.085,1.063,82.5564,NA,NA,NA,28.2,7.1,0.62,1,4,0,1,49869310.17,16.799999239999998,0.436139,0.288339,0.089351937,60.50172,0.167913631,41.0340004,0.065038472,0.484751431,0.235844803,0.050585313,0.395043704,0.181316128,0,0,545.7,11513.5,NA,NA,17,29,0,1,0,1,0,0,0,0,1,0,0,1,0
2005,IL,13,Illinois,17,21,12704063,13.3,0.332340062,0.59900486,3,55372969,58790939,45166,37437,5.7,11.5,1,6.25,0.095,7.3,0,-0.193,-0.183,1.277,1.045,79.9688,0.87400025,0.48612532,2.92,27.7,7,NA,1,NA,0,1,NA,16.89999962,0.34306,0.202881,0.33867782,61.70262,0.180101201,37.14599991,0.064355224,0.412677773,0.306551231,0.05060394,0.358362585,0.187390973,0,0,552,10585,233.067,216.49,14,27,0,1,0,1,0,0,0,0,1,0,0,1,0
2006,IL,13,Illinois,17,21,12759673,13.3,0.336389095,0.60959125,3,55746069,62515779,46105,39900,4.5,10.6,1,6.25,0.096,7.3,0,-0.193,-0.183,1.277,1.045,79.9688,NA,NA,NA,27.1,7.1,0.4,1,4,0,1,99236353.43,16.5,0.577031,0.202881,0.34608254,59.06579,0.179666042,38.94800186,0.063671969,0.340604116,0.377257658,0.050622567,0.321681467,0.193465817,0,0,541.6,10420.5,NA,NA,17,23,0,1,0,1,0,0,0,0,1,0,0,1,0
2007,IL,13,Illinois,17,21,12825809,13.3,0.350103796,0.61480683,3,59929928,71322681,46593,41950,5,10,1,6.25,0.095,7.3,0,-0.192,-0.435,1.228,1.063,83.37193,1.1520765,0.018571205,2.92,27.1,7.2,NA,1,NA,0,1,NA,14.600000380000001,0.5173,0.32998,0.33639953,69.51468,0.218538493,43.39899826,0.062146284,0.26797087000000003,0.401445033,0.048528699,0.309276684,0.15242657,0,0,533.2,11140.6,237.287,219.387,26,28,0,1,0,1,0,0,0.75,0,1,0,0,1,0
2008,IL,13,Illinois,17,21,12901563,13.3,0.352942288,0.61294878,3,63537729,58735467,45970,43498,6.3,12.3,1,6.25,0.098,7.3,1,-0.192,-0.435,1.228,1.063,83.94454,NA,NA,NA,27.1,7,0.64,1,4,0,1,59261243.41,16.60000038,0.53649,0.32998,0.14186239,67.27898,0.158983603,42.66500092,0.060620602,0.195337624,0.425632408,0.046434832,0.296871902,0.111387324,0,0,528.2,11154.1,NA,NA,27,29,0,1,0,1,0,0,1.5,0,1,0,0,1,0
2009,IL,13,Illinois,17,21,12796778,13.3,0.354151756,0.61450654,3,68623768,40530099,44565,41058,10.2,13.2,1,6.25,0.105,7.3,0,-0.218,-0.435,1.221,1.087,85.57595,1.3323956,0.021687159,2.92,27.7,6.7,NA,1,NA,0,1,NA,17.5,0.627521,0.022989,0.21853377,63.70098,0.211451575,41.98300171,0.094268225,0.402742679,0.393407265,0.057062187,0.363608428,0.147521717,0,0,497.2,11077.9,238.286,219.166,33,29,0,1,0,1,0,0,3,0,1,0,0,1,0
2010,IL,13,Illinois,17,21,12840503,13.3,0.341927737,0.6204583,3,75269674,73274871,45258,42057,10.4,14.1,1,6.25,0.102,9.5,0,-0.42,-0.443,1.237,1.088,85.57595,NA,NA,NA,28.2,6.6,0.42,1,4,0,1,110522230.6,15.5,0.568496,0.022989,0.16345502,56.48466,0.178250387,41.54999924,0.127915844,0.610147733,0.361182121,0.067689541,0.430344955,0.183656111,0,0,444.9,NA,NA,NA,38,29,0,1,0,1,0,0,6,0,1,0,0,1,0
2011,IL,13,Illinois,17,21,12867454,13.3,0.365013599,0.62904358,3,73801032,82446201,NA,44139,9.7,14.2,1,6.25,NA,9.5,0,-0.192,-0.392,1.445,1.092,84.30063,1.2417328,0.092734024,NA,31.1,6.6,NA,1,NA,0,1,NA,16.200000760000002,0.760814,NA,0.29277262,61.06882,0.149038017,NA,0.125225186,0.627290009,0.333665302,0.083512311,0.462220662,0.180487839,1,0,424,NA,238.837,219.357,39,30,0,1,0,1,0,0,7.5,0,1,0,0,1,0
2012,IL,13,Illinois,17,21,12875255,13.3,NA,0.64091712,3,72622240,68901523,NA,46048,9,12.6,1,6.25,NA,9.5,1,-0.187,-0.409,1.447,1.092,84.30063,NA,NA,NA,31.1,6.6,0.59,1,8,0,1,82360455.4,NA,0.781753,NA,NA,58.72151,NA,NA,0.122534543,0.644432284,0.306148482,0.099335081,0.494096369,0.177319568,1,0,416.2,NA,NA,NA,42,30,0,1,0,1,0,0,9,0,1,0,0,1,0
